 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2 15  0
 Used Nearest Grid Point ( 150, 211) to Lat:    38.25, Lon:  -122.01
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1014  64.1  1022     0     0   9.7  84.9     0 -0.14  1014   3.5     0   9.3  0.94  42.5   131   7.2   281   504     0     0     0     0     0  24.4   6.0     0     0   292  12.7                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  0.24 -0.22   181  11.5   1.1  78.4     0    284.7   0.3  -0.2         
   975  0.34  0.78   393  12.0   1.7  76.4  0.12    287.2   0.2   0.8         
   950  -1.7   1.3   610  10.6   2.1  75.6  0.25    287.9  -1.9   0.9         
   925  -2.7  0.74   832   8.7   7.0  91.3  0.25    288.3  -2.8   0.2         
   900  -3.4  1E-1  1059   9.5   6.9  77.6     0    291.3  -3.3  -0.6         
   875  -3.1  0.37  1293   9.3   5.9  48.7     0    293.5  -3.1  -0.2         
   850  -2.0     0  1533   9.5   5.0  22.9     0    296.1  -1.9  -0.4         
   825 -0.46 -0.27  1780   9.5   4.3  10.3     0    298.6  -0.4  -0.4         
   800  0.60 -0.17  2034   9.0   1.8   3.2     0    300.8   0.6  -0.0         
   775   1.5  0.19  2296   8.6   2.2   1.1     0    303.1   1.4   0.5         
   750   1.8   1.0  2566   8.5   2.8   1.0     0    305.8   1.6   1.4         
   725   1.3   1.8  2846   8.3   3.9     0  2E-2    308.6   0.9   2.0         
   700 -1E-1   1.4  3134   6.4   5.5     0     0    309.5  -0.4   1.4         
   650  -1.5  0.89  3734   1.6   8.5   3.0  2E-2    310.8  -1.6   0.6         
   600   2.4   1.0  4376  1E-1   2.4   8.0  2E-2    316.2   2.2   1.5         
   550   7.5   1.1  5067  -4.0     0   8.2  2E-2    319.4   7.1   2.6         
   500   9.2   1.3  5810 -10.0  0.71  17.0  2E-2    320.9   8.7   3.1         
   450  10.5  0.52  6610 -16.9   3.3  30.0  2E-2    321.9  10.2   2.6         
   400  12.4 -0.81  7481 -24.3   2.8  41.1  2E-2    323.4  12.3   1.7         
   350  13.7  -1.4  8437 -32.2   3.8  53.0  2E-2    325.3  13.7   1.3         
   300  13.5  -1.2  9506 -40.9   2.9  49.5  2E-2    327.7  13.5   1.5         
   250  10.3 -0.47 10723 -48.2   2.0  34.2  2E-2    334.4  10.2   1.6         
   200   9.5  -1.6 12172 -54.3   1.9  11.6  2E-2    346.8   9.6   0.3         
   150  12.8   1.6 13981 -62.1   1.2   7.7  2E-2    363.2  12.3   4.1         
   100  12.0   2.7 16426 -71.2  0.38  11.6  2E-2    390.3  11.3   5.0         
    50   2.8   4.0 20562 -65.6  0.27   7.2  2E-2    488.9   2.0   4.5         
