 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2 15  0
 Used Nearest Grid Point ( 151, 208) to Lat:    37.95, Lon:  -121.80
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1009   104  1022     0     0  11.4  84.9 -0.74  0.48  1009  11.5   5.2  15.5   1.1  26.5  1539  11.4   286   864     0     0     0     0     0  24.4  94.0     0     0   290  12.9                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -1.9  -1.5   182  11.2  -1.6  81.4     0    284.3  -1.6  -1.8         
   975  -2.0 -1E-1   394  12.2   1.7  73.4     0    287.4  -2.0  -0.5         
   950  -2.6  0.64   610  10.2  10.0  88.6  0.25    287.6  -2.7   0.1         
   925  -3.4   1.4   832   8.1  15.8  97.3  0.25    287.6  -3.6   0.7         
   900  -4.0   2.0  1059  10.3  10.4  70.6     0    292.1  -4.3   1.1         
   875  -2.9   1.6  1293   9.7   9.4  48.7     0    293.9  -3.1   1.0         
   850  -1.7   1.0  1533   9.4   6.8  25.9     0    296.0  -1.9   0.7         
   825 -0.71  0.60  1780   9.2   4.3  12.3     0    298.3  -0.8   0.4         
   800  0.35  0.46  2034   8.9   1.8   4.2     0    300.7   0.3   0.5         
   775   1.1  0.31  2296   8.7   2.2   1.1     0    303.2   1.0   0.5         
   750   1.2  0.15  2567   8.9   2.8     0     0    306.3   1.2   0.4         
   725  0.70  4E-2  2846   8.4   5.7     0  2E-2    308.7   0.7   0.2         
   700 -0.22  0.29  3134   6.1   9.0     0     0    309.3  -0.3   0.2         
   650  -2.1  0.77  3735   2.1   8.5   2.0  2E-2    311.4  -2.2   0.3         
   600   1.9     0  4378  0.58   1.5   7.0  2E-2    316.8   1.9   0.4         
   550   7.1     0  5070  -3.7     0   8.2  2E-2    319.7   7.0   1.4         
   500   8.8 -1E-1  5813 -10.0  0.71  16.0  2E-2    320.9   8.7   1.7         
   450   9.6 -0.73  6614 -16.9   3.3  32.0  2E-2    321.9   9.6   1.2         
   400  11.5  -1.8  7484 -24.3   3.7  40.1  2E-2    323.4  11.7   0.5         
   350  13.2  -1.8  8440 -32.1   3.8  45.0  2E-2    325.5  13.3   0.8         
   300  12.9  -1.3  9509 -40.9   2.9  44.5  2E-2    327.7  12.9   1.2         
   250   9.5  -1.5 10726 -48.2   2.0  33.2  2E-2    334.4   9.6   0.4         
   200   8.5  -2.3 12176 -54.3   1.9  11.6  2E-2    346.8   8.8  -0.6         
   150  12.1   1.1 13985 -62.1     0   7.7  2E-2    363.2  11.6   3.4         
   100  11.8   2.6 16430 -71.2  0.38  11.6  2E-2    390.3  11.1   4.8         
    50   2.7   3.9 20563 -65.6  0.27   7.2  2E-2    488.9   1.9   4.3         
