 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2 15  0
 Used Nearest Grid Point ( 151, 211) to Lat:    38.27, Lon:  -121.88
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1018  32.1  1022     0     0  10.1  83.9 -0.11  0.11  1018   7.5     0   6.1  0.19  34.5   131  10.2   283   520     0     0     0     0     0  24.4  88.0     0     0   292  12.2                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000 -0.13  -1.7   181  12.0 -0.26  76.4     0    285.2   0.2  -1.7         
   975  0.46     0   394  12.2   1.7  70.4     0    287.4   0.5   0.1         
   950  -1.6  0.51   611  10.8   4.7  78.6  0.25    288.2  -1.7   0.2         
   925  -2.1  0.37   832   7.9  10.6  96.3  0.25    287.4  -2.1  -0.0         
   900  -3.1  0.46  1059   9.9   8.6  79.6     0    291.7  -3.2  -0.2         
   875  -2.9  0.62  1293   9.3   7.6  53.7     0    293.5  -2.9   0.0         
   850  -2.0  0.41  1533   9.3   5.0  26.9     0    295.9  -2.0   0.0         
   825 -0.59  0.10  1780   9.2   4.3  12.3     0    298.3  -0.6  -0.0         
   800  0.60 -4E-2  2034   8.8   1.8   5.2     0    300.5   0.6   0.1         
   775   1.4  1E-1  2296   8.5   2.2   1.1     0    302.9   1.3   0.3         
   750   1.7  0.53  2566   8.7   2.8     0     0    306.0   1.6   0.9         
   725   1.3  0.91  2846   8.3   3.9     0  2E-2    308.6   1.1   1.2         
   700  0.16  0.67  3134   6.2   7.3     0     0    309.4   0.0   0.7         
   650  -2.1   1.0  3734   1.9   7.6   2.0  2E-2    311.1  -2.3   0.6         
   600   1.8  0.88  4376  0.20     0   7.0  2E-2    316.4   1.6   1.2         
   550   7.3  0.76  5068  -4.0  -1.0   8.2  2E-2    319.4   7.0   2.2         
   500   9.1  0.80  5810 -10.1  0.71  17.0  2E-2    320.7   8.7   2.6         
   450  10.2     0  6611 -16.9   3.3  31.0  2E-2    321.9  10.0   2.0         
   400  12.1  -1.2  7481 -24.3   2.8  41.1  2E-2    323.4  12.1   1.2         
   350  13.7  -1.7  8437 -32.2   3.0  51.0  2E-2    325.3  13.7   1.1         
   300  13.4  -1.3  9506 -40.9   2.9  47.5  2E-2    327.7  13.4   1.3         
   250  10.1 -0.84 10723 -48.2   2.0  33.2  2E-2    334.4  10.1   1.2         
   200   9.4  -1.7 12173 -54.3   1.9  11.6  2E-2    346.8   9.5   0.2         
   150  12.6   1.2 13981 -61.9   1.2   7.7  2E-2    363.4  12.1   3.6         
   100  12.0   2.6 16426 -71.2  0.38  11.6  2E-2    390.3  11.3   4.9         
    50   2.8   3.9 20562 -65.6  0.27   7.2  2E-2    488.9   2.0   4.4         
