 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2 18  0
 Used Nearest Grid Point ( 149, 208) to Lat:    37.91, Lon:  -122.06
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1003   168  1023     0     0  13.5  83.7  -2.7 -5E-2  1003  43.6   129  48.1   1.1   535   644  18.6   287   864     0     0     0     0     0  24.2     0     0     0   287  13.1                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.7  0.17   188  12.5     0  88.2  0.52    285.7  -2.6  -0.4         
   975  -4.4  0.52   400  11.5   1.2  91.6  0.75    286.8  -4.4  -0.4         
   950  -5.4   2.2   618  11.5   5.9  80.9     0    288.9  -5.7   1.1         
   925  -4.9   4.3   841  11.4   6.9  59.2     0    291.0  -5.6   3.2         
   900  -3.9   4.4  1069  11.7   6.0  32.2     0    293.6  -4.7   3.5         
   875  -2.3   3.1  1305  12.0   3.6  13.1     0    296.3  -2.9   2.5         
   850 -0.80   1.5  1547  11.6   2.7   3.4     0    298.3  -1.1   1.3         
   825  0.59   1.1  1795  10.7     0   1.2     0    299.9   0.4   1.2         
   800   1.3   1.8  2050  10.3 -0.70   1.0     0    302.1   0.9   2.0         
   775   1.2   2.1  2314  10.7  -1.9   1.0     0    305.4   0.8   2.3         
   750  0.68   2.3  2586  10.0  -3.0   1.0     0    307.4   0.2   2.4         
   725  0.30   1.9  2866   8.3  -3.5   2.0     0    308.6  -0.1   1.9         
   700 -0.13   1.8  3154   5.8  -1.9   4.0     0    308.9  -0.5   1.8         
   650 -0.75   2.9  3754   2.0   2.2   6.0     0    311.3  -1.3   2.7         
   600   1.5   2.6  4396 -0.79   2.2  10.0  2E-2    315.2   0.9   2.9         
   550   7.0   2.4  5085  -4.4  0.53   6.0  2E-2    318.9   6.4   3.7         
   500  11.3   2.5  5828  -9.3  -1.6   8.0  2E-2    321.7  10.6   4.7         
   450  12.1   3.4  6631 -16.1  -1.3  15.0  2E-2    323.1  11.2   5.8         
   400  12.6   2.7  7505 -23.8  -2.0  35.0  2E-2    324.1  11.8   5.1         
   350  12.7   1.7  8462 -31.9 -0.73  57.0  2E-2    325.8  12.1   4.1         
   300  11.8   1.9  9532 -40.7 -0.72  67.0  2E-2    328.1  11.2   4.2         
   250  10.4   3.0 10749 -48.0 -0.54  39.0  2E-2    334.7   9.6   5.0         
   200   7.2   2.4 12200 -54.9     0  12.5  2E-2    345.8   6.6   3.7         
   150  13.2   4.0 14005 -62.4  0.61   7.7  2E-2    362.6  12.2   6.5         
   100   9.2   6.8 16448 -70.9   1.1  10.6  2E-2    390.8   7.6   8.5         
    50   3.9   4.9 20604 -65.5 -0.19   7.2  2E-2    489.2   2.8   5.6         
