 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2 18  0
 Used Nearest Grid Point ( 150, 209) to Lat:    38.04, Lon:  -121.95
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1014  80.1  1023     0     0  12.8  87.7  -2.2 -0.42  1014  67.6   117  51.3   1.9   527   516  17.9   288   480     0     0     0     0     0  24.2     0     0     0   289  13.4                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.8 -0.58   190  11.3  -3.6  93.2  0.84    284.4  -2.6  -1.1         
   975  -4.1  0.27   402  11.8  -1.9  85.6  0.25    287.0  -4.1  -0.5         
   950  -4.8   2.4   620  11.1   3.7  86.9     0    288.5  -5.1   1.4         
   925  -4.4   4.1   842  10.5   5.1  68.2     0    290.1  -5.1   3.2         
   900  -3.6   4.2  1070  11.2   4.2  38.2     0    293.1  -4.3   3.4         
   875  -2.3   3.2  1305  11.5   3.6  16.1     0    295.8  -2.9   2.7         
   850 -0.93   1.7  1546  11.1   1.8   4.4     0    297.8  -1.2   1.4         
   825  0.46   1.4  1795  10.7     0   1.2     0    299.9   0.2   1.5         
   800  0.89   1.9  2050  10.8 -0.70   1.0     0    302.7   0.5   2.0         
   775  0.62   2.4  2314  10.9 -0.99   1.0     0    305.5   0.1   2.4         
   750  0.30   2.4  2586   9.9  -2.1   1.0     0    307.3  -0.2   2.4         
   725  1E-1   2.2  2866   8.0 -0.91   2.0     0    308.3  -0.4   2.2         
   700 -0.38   2.1  3153   5.4  0.28   4.0     0    308.5  -0.8   2.0         
   650  -1.0   3.0  3753   1.8   2.2   5.0     0    311.0  -1.6   2.7         
   600   1.5   2.8  4395 -0.54   2.2   8.0  2E-2    315.5   0.9   3.0         
   550   6.7   2.4  5084  -4.4  0.53   6.0  2E-2    318.9   6.1   3.7         
   500  11.0   2.5  5827  -9.5 -0.49   8.0  2E-2    321.5  10.2   4.7         
   450  11.8   3.2  6630 -16.1  -1.3  16.0  2E-2    323.1  11.0   5.5         
   400  12.7   2.4  7503 -23.9  -2.0  35.0  2E-2    324.0  12.0   4.9         
   350  13.1   1.3  8460 -32.0  -1.8  59.0  2E-2    325.6  12.5   3.8         
   300  12.0   1.7  9530 -40.7 -0.72  68.0  2E-2    328.1  11.5   4.0         
   250  10.5   2.8 10746 -48.0 -0.54  38.0  2E-2    334.7   9.7   4.9         
   200   7.3   2.2 12197 -54.9     0  12.5  2E-2    345.8   6.8   3.6         
   150  13.3   3.7 14002 -62.4  0.61   7.7  2E-2    362.6  12.3   6.3         
   100   9.3   6.7 16445 -70.9   1.1  10.6  2E-2    390.8   7.8   8.4         
    50   3.9   4.8 20601 -65.5 -0.19   7.2  2E-2    489.2   2.8   5.5         
