 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2 18  0
 Used Nearest Grid Point ( 150, 211) to Lat:    38.25, Lon:  -122.01
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1015  64.1  1023     0     0  13.2  83.7  -1.9 -0.92  1015  67.6   129  48.1  0.94   519   516  18.6   285   504     0     0     0     0     0  24.2   8.0     0     0   289  13.1                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.4  -1.3   191  11.7     0  89.2  0.84    284.8  -2.1  -1.8         
   975  -3.4 -0.98   403  12.0 -1.00  81.6  0.25    287.3  -3.1  -1.6         
   950  -4.0   1.2   621  11.4  -3.3  80.9     0    288.7  -4.2   0.4         
   925  -3.9   3.0   843   9.8  -2.8  79.2     0    289.3  -4.4   2.2         
   900  -3.4   3.7  1071  10.2  -1.1  50.2     0    292.1  -4.1   2.9         
   875  -2.4   2.9  1305  10.7     0  20.1     0    294.9  -3.0   2.4         
   850 -0.80   2.0  1546  11.0   2.7   3.4     0    297.7  -1.2   1.8         
   825  0.71   1.8  1794  10.7   2.1   1.2     0    299.9   0.4   1.9         
   800   1.3   2.5  2050  10.8   1.1   1.0     0    302.7   0.7   2.7         
   775   1.1   3.2  2314  10.7 -0.99   1.0     0    305.4   0.5   3.4         
   750  0.80   3.3  2585   9.8     0   1.0     0    307.2   0.1   3.4         
   725  0.43   3.0  2865   7.9     0   2.0     0    308.2  -0.2   3.0         
   700 -0.25   2.6  3153   5.4   1.2   4.0     0    308.5  -0.8   2.5         
   650  -1.1   2.9  3751   1.3  0.87   6.0     0    310.4  -1.7   2.6         
   600   1.4   2.9  4392 -0.79   2.2   9.0  2E-2    315.2   0.8   3.1         
   550   6.2   2.9  5081  -4.6  0.53   7.0  2E-2    318.6   5.5   4.1         
   500  10.5   3.0  5823  -9.6 -0.49   9.0  2E-2    321.4   9.7   5.1         
   450  12.0   3.7  6626 -16.2  -1.3  16.0  2E-2    322.9  11.0   6.0         
   400  13.6   3.0  7499 -24.0  -2.0  36.0  2E-2    323.8  12.7   5.7         
   350  14.1   1.8  8455 -32.1 -0.73  64.0  2E-2    325.5  13.4   4.5         
   300  12.5   2.0  9525 -40.8 -0.72  70.0  2E-2    327.9  11.9   4.5         
   250  10.8   3.1 10741 -48.0  0.55  37.0  2E-2    334.7   9.9   5.2         
   200   7.5   2.6 12191 -54.9     0  12.5  2E-2    345.8   6.8   4.0         
   150  13.6   4.1 13997 -62.4  0.61   7.7  2E-2    362.6  12.5   6.7         
   100   9.4   6.8 16439 -70.7   1.1  10.6  2E-2    391.1   7.9   8.5         
    50   4.0   4.8 20598 -65.4 -0.19   7.2  2E-2    489.5   3.0   5.5         
