 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2 18  0
 Used Nearest Grid Point ( 151, 210) to Lat:    38.16, Lon:  -121.85
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1021  16.1  1023     0     0  13.7  84.7  -1.5 -0.80  1021  71.6   133  34.1  0.19   519   516  18.6   285   544     0     0     0     0     0  24.2     0     0     0   288  13.4                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.3  -1.5   190  10.9  -1.4  94.2  0.40    284.1  -1.9  -1.9         
   975  -3.0 -0.48   403  12.0  0.32  79.6     0    287.3  -2.8  -1.1         
   950  -3.8   1.9   621  11.4   1.1  82.9     0    288.7  -4.1   1.1         
   925  -3.6   3.5   843  10.0   2.5  75.2     0    289.5  -4.3   2.7         
   900  -3.2   4.0  1071  10.9   3.3  46.2     0    292.7  -3.9   3.3         
   875  -2.2   3.2  1306  10.8   2.8  21.1     0    295.0  -2.8   2.7         
   850 -0.93   2.3  1547  10.6   2.7   6.4     0    297.3  -1.4   2.1         
   825  1E-1   1.9  1794  10.5   1.3   2.2     0    299.8  -0.3   1.9         
   800  0.51   2.3  2050  10.9   1.1   1.0     0    302.8   0.1   2.3         
   775  0.37   2.6  2314  10.7 -0.99   1.0     0    305.4  -0.2   2.6         
   750  0.18   2.4  2586   9.6     0   2.0     0    307.0  -0.3   2.4         
   725 -1E-1   2.0  2866   7.7     0   2.0     0    307.9  -0.5   1.9         
   700 -0.38   2.0  3153   5.1   1.2   4.0     0    308.2  -0.8   1.8         
   650  -1.3   3.1  3751   1.5   2.2   5.0     0    310.7  -1.8   2.8         
   600   1.5   3.0  4393 -0.42  0.89   7.0  2E-2    315.6   0.9   3.3         
   550   6.4   2.5  5083  -4.4  0.53   6.0  2E-2    318.9   5.7   3.7         
   500  10.5   2.5  5826  -9.5 -0.49   8.0  2E-2    321.5   9.8   4.6         
   450  11.6   2.9  6628 -16.2  -1.3  16.0  2E-2    322.9  10.8   5.2         
   400  12.8   2.0  7501 -24.0  -2.0  36.0  2E-2    323.8  12.2   4.5         
   350  13.3  0.91  8458 -32.1  -1.8  61.0  2E-2    325.5  12.9   3.5         
   300  12.3   1.4  9527 -40.8 -0.72  69.0  2E-2    327.9  11.8   3.8         
   250  10.5   2.6 10744 -48.0 -0.54  38.0  2E-2    334.7   9.8   4.6         
   200   7.3   2.1 12193 -55.0     0  12.5  2E-2    345.6   6.8   3.5         
   150  13.5   3.6 13998 -62.4  0.61   7.7  2E-2    362.6  12.5   6.2         
   100   9.3   6.5 16442 -70.7   1.1  10.6  2E-2    391.1   7.8   8.2         
    50   4.0   4.7 20599 -65.5 -0.19   7.2  2E-2    489.2   3.0   5.4         
