 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2 21  0
 Used Nearest Grid Point ( 152, 208) to Lat:    37.97, Lon:  -121.66
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1016  40.1  1021     0     0  19.2  60.8  -2.5 -0.60  1016  66.8   197  50.7  0.94   558  1224  25.2   291   360     0     0     0     0     0  24.3  56.0     0     0   283  10.3                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.6 -0.39   175  16.6  -6.3  68.5   1.5    289.8  -2.5  -0.9         
   975  -2.8 -0.16   391  14.4  -6.3  77.6   1.5    289.6  -2.8  -0.7         
   950  -3.1  0.93   610  12.2  -4.2  85.4   1.2    289.6  -3.2   0.3         
   925  -2.5   5.3   834  12.8   1.5  43.6  0.25    292.4  -3.5   4.7         
   900  -1.9   4.9  1064  13.0  0.80  22.3     0    294.9  -2.8   4.4         
   875  -1.3   3.9  1299  12.3   1.5  11.3     0    296.6  -2.0   3.5         
   850  0.13   2.8  1542  11.9   3.7   4.1     0    298.6  -0.4   2.8         
   825   1.1   2.0  1790  11.5   4.0   1.3     0    300.8   0.6   2.2         
   800   1.6   1.6  2046  11.2   4.0  0.31     0    303.1   1.3   1.8         
   775   1.8   1.7  2311  10.8   3.5   1.1     0    305.4   1.5   2.0         
   750   1.9   1.6  2583   9.5   3.5   1.0     0    306.9   1.6   2.0         
   725   2.2   1.6  2862   7.6   3.6   2.1  3E-2    307.8   1.9   2.0         
   700   2.7   1.8  3149   5.3   5.3   3.0     0    308.3   2.3   2.3         
   650   2.8   3.8  3749   2.8   4.1   5.0  2E-2    312.1   2.0   4.2         
   600   3.1   6.7  4393  0.21   2.3   7.0     0    316.4   1.7   7.2         
   550   6.6   4.6  5083  -4.6   1.6   9.0     0    318.7   5.5   5.8         
   500  11.0   3.0  5825 -10.0   1.5  11.1  2E-2    320.9  10.2   5.0         
   450  13.4   4.2  6627 -16.5     0  14.1  2E-2    322.5  12.4   6.8         
   400  12.4   5.6  7499 -24.1     0  32.0  1E-2    323.7  11.0   7.9         
   350  11.7   5.4  8454 -32.7   1.6  59.1  2E-2    324.6  10.4   7.5         
   300  10.9   6.1  9522 -41.0   1.2  68.3  2E-2    327.5   9.5   8.1         
   250   9.7   7.1 10734 -49.1   1.9  55.0  2E-2    333.1   8.1   8.8         
   200   8.5   5.8 12182 -54.6   2.7  12.4     0    346.3   7.2   7.4         
   150  13.0   6.3 13991 -61.7   1.7   5.7  2E-2    363.8  11.5   8.7         
   100   8.2  10.2 16440 -70.9 -0.53  10.7  2E-2    390.8   6.1  11.6         
    50   4.0   5.1 20585 -66.2 -0.13   8.2  2E-2    487.5   2.9   5.8         
