 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2 21  0
 Used Nearest Grid Point ( 152, 210) to Lat:    38.18, Lon:  -121.72
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1020   8.1  1021     0     0  19.0  63.8  -2.1  -1.5  1020  82.8   181  38.2  0.28   542  1224  23.7   290   520     0     0     0     0     0  24.3  66.0     0     0   283  10.3                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.2  -1.4   177  16.0  -1.9  72.5   1.2    289.2  -1.9  -1.8         
   975  -2.5  -1.3   393  13.9  -1.5  80.6   1.0    289.1  -2.2  -1.7         
   950  -3.3   2.3   611  12.3     0  79.4  0.75    289.7  -3.7   1.6         
   925  -3.1   5.2   835  12.4   3.3  46.6  0.25    292.0  -4.1   4.5         
   900  -2.4   5.0  1064  12.6   3.4  20.3     0    294.5  -3.4   4.5         
   875  -1.6   4.2  1300  12.1   4.2  10.3     0    296.3  -2.4   3.8         
   850 -0.49   3.2  1542  11.6   3.7   4.1     0    298.4  -1.1   3.0         
   825  0.56   2.3  1790  11.4   4.0   1.3     0    300.7   0.1   2.4         
   800   1.5   2.1  2047  11.2   2.3   1.3     0    303.1   1.1   2.3         
   775   2.1   2.2  2311  10.7   1.8   1.1     0    305.3   1.6   2.5         
   750   2.3   2.1  2583   9.5   1.8   2.0     0    306.9   1.9   2.5         
   725   2.6   2.0  2862   7.6   3.6   2.1  3E-2    307.8   2.2   2.4         
   700   2.7   2.2  3149   5.4   3.5   4.0     0    308.5   2.3   2.7         
   650   2.7   4.8  3749   2.7   4.1   5.0  2E-2    312.0   1.7   5.2         
   600   3.6   6.7  4393 -4E-2   4.0   8.0     0    316.1   2.2   7.3         
   550   6.6   4.9  5082  -4.8   1.6  10.0     0    318.4   5.5   6.1         
   500  10.9   3.3  5824 -10.0     0  12.1  2E-2    320.9  10.0   5.4         
   450  13.6   4.6  6625 -16.5  -2.6  16.1  2E-2    322.5  12.4   7.2         
   400  13.2   6.1  7497 -24.2  -2.7  33.0  1E-2    323.5  11.8   8.6         
   350  12.4   5.9  8452 -32.8  -1.9  65.1  2E-2    324.5  11.0   8.2         
   300  10.7   6.4  9520 -41.0 -0.57  70.3  2E-2    327.5   9.3   8.4         
   250  10.0   7.3 10732 -49.1   1.9  56.0  2E-2    333.1   8.3   9.1         
   200   9.0   6.3 12180 -54.6   1.4  12.4     0    346.3   7.6   7.9         
   150  13.2   6.2 13989 -61.7   1.7   5.7  2E-2    363.8  11.7   8.7         
   100   8.5  10.5 16438 -70.8 -0.53  10.7  2E-2    391.0   6.3  11.9         
    50   4.1   5.2 20585 -66.2 -0.13   8.2  2E-2    487.5   3.0   5.9         
