 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2 21  0
 Used Nearest Grid Point ( 153, 210) to Lat:    38.20, Lon:  -121.58
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1021     0  1021     0     0  19.1  63.8  -1.6  -1.5  1021  78.8   189  38.2  0.28   534  1096  24.2   290   424     0     0     0     0     0  24.3  84.0     0     0   283  10.0                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -1.7  -1.4   177  16.0 -0.57  73.5   1.0    289.2  -1.4  -1.7         
   975  -2.0  -1.0   393  13.9 -0.62  80.6   1.0    289.1  -1.7  -1.4         
   950  -3.1   2.7   612  12.7   2.9  77.4  0.50    290.1  -3.6   2.0         
   925  -2.9   5.0   835  12.4   5.0  49.6     0    292.0  -3.8   4.4         
   900  -2.4   5.2  1065  12.5   5.2  21.3     0    294.4  -3.4   4.6         
   875  -1.8   4.5  1300  12.0   5.0  11.3     0    296.2  -2.6   4.1         
   850 -0.87   3.8  1542  11.5   5.4   6.1     0    298.2  -1.6   3.6         
   825  0.18   3.0  1790  11.3   4.0   3.3     0    300.5  -0.4   3.0         
   800   1.2   2.7  2046  11.1   4.0   1.3     0    303.0   0.7   2.9         
   775   1.8   2.3  2310  10.6   3.5   1.1     0    305.2   1.4   2.6         
   750   2.3   1.8  2582   9.5   3.5   2.0     0    306.9   1.9   2.2         
   725   2.6   1.5  2862   7.6   3.6   2.1  3E-2    307.8   2.3   1.9         
   700   2.7   1.9  3149   5.4   5.3   3.0     0    308.5   2.3   2.4         
   650   2.2   5.2  3749   2.7   4.1   5.0  2E-2    312.0   1.1   5.5         
   600   3.5   6.7  4393  1E-1   2.3   7.0     0    316.2   2.1   7.2         
   550   6.3   5.0  5082  -4.8   1.6   9.0     0    318.4   5.2   6.1         
   500  10.5   3.2  5824 -10.0  0.58  11.1  2E-2    320.9   9.7   5.2         
   450  13.2   4.1  6625 -16.5  -2.6  15.1  2E-2    322.5  12.1   6.6         
   400  13.0   5.5  7497 -24.1  -3.6  33.0  1E-2    323.7  11.7   7.9         
   350  12.3   5.4  8452 -32.7  -1.9  67.1  2E-2    324.6  11.0   7.7         
   300  10.7   5.8  9520 -40.9 -0.57  70.3  2E-2    327.7   9.4   7.7         
   250   9.8   7.0 10732 -49.1   1.9  56.0  2E-2    333.1   8.3   8.7         
   200   8.9   5.9 12180 -54.7   1.4  12.4     0    346.1   7.5   7.5         
   150  13.1   5.8 13990 -61.7   1.7   5.7  2E-2    363.8  11.7   8.3         
   100   8.5  10.2 16438 -70.8 -0.53  10.7  2E-2    391.0   6.3  11.7         
    50   4.1   5.1 20585 -66.2 -0.13   7.2  2E-2    487.5   3.0   5.8         
