 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3  0  0
 Used Nearest Grid Point ( 153, 209) to Lat:    38.10, Lon:  -121.56
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1021     0  1021     0     0  20.1  58.3 -0.55  -1.5  1021  27.5   6.5  18.2  0.28   123  1539  20.4   292   360     0     0     0     0     0  24.2     0     0     0   283   9.9                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000 -0.31  -2.0   177  17.7  -2.6  64.2  0.34    290.9   0.1  -2.0         
   975 -0.18  -1.6   394  15.6  -1.8  68.8  0.25    290.9   0.1  -1.6         
   950  0.10 -0.18   614  14.0  -1.1  70.4  0.38    291.4   0.1  -0.2         
   925  0.64   3.4   839  13.8 -0.92  54.3  0.12    293.4  -0.0   3.5         
   900  0.70   4.1  1069  13.2  -1.5  47.9     0    295.1  -0.1   4.2         
   875 -0.14   3.5  1306  12.8     0  32.0     0    297.1  -0.8   3.4         
   850 -0.37   2.3  1548  12.1     0  17.0     0    298.8  -0.8   2.2         
   825 -0.31  0.81  1797  11.1     0   6.1     0    300.3  -0.5   0.7         
   800  0.55 -0.13  2053  10.5     0   3.0     0    302.4   0.6  -0.0         
   775   1.9 -0.33  2316  10.1 -0.63   2.0     0    304.6   1.9   0.0         
   750   2.5 -1E-1  2588   9.1  -2.9   2.0     0    306.4   2.4   0.4         
   725   2.2  0.39  2867   7.4  -3.2   2.0  3E-2    307.6   2.1   0.8         
   700   2.0  0.62  3154   5.4  -3.3   2.0  2E-2    308.4   1.9   1.0         
   650   3.6   2.8  3753   2.3  -2.0   3.0  2E-2    311.6   3.0   3.4         
   600   4.6   6.2  4397  1E-1 -0.77   4.0  2E-2    316.2   3.3   7.0         
   550   6.2   5.6  5087  -4.1   1.0   8.0     0    319.2   5.0   6.7         
   500   8.8   4.0  5830  -9.6   2.6   9.0  2E-2    321.4   7.9   5.6         
   450  10.9   6.7  6633 -15.9   1.6  12.0  2E-2    323.3   9.4   8.7         
   400  10.0   6.7  7507 -23.9  0.34  25.0  2E-2    324.0   8.5   8.6         
   350  13.9   5.1  8464 -32.0  0.76  33.0     0    325.6  12.7   7.7         
   300  16.8   6.6  9532 -41.4   1.0  36.0  2E-2    327.0  15.1   9.7         
   250  10.6   7.8 10743 -49.1 -0.38  45.0  2E-2    333.0   8.9   9.7         
   200   8.0   7.3 12190 -54.6  0.29  14.3  2E-2    346.3   6.4   8.7         
   150  13.7  10.3 14002 -61.9 -0.28   5.5  2E-2    363.4  11.4  12.8         
   100   7.5  11.8 16445 -70.9  1E-1   9.5  2E-2    390.7   5.0  13.1         
    50   2.8   4.8 20599 -65.3 -0.27   7.2  2E-2    489.7   1.9   5.3         
