Local time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
17:30:07, 61, 0, 101884,  ,  , 20.57,  ,  ,  ,  , 
17:30:09, 60, 0, 101889,  ,  , 21.43,  ,  ,  ,  , 
17:30:10, 60, 0, 101892,  ,  , 20.78,  ,  ,  ,  , 
17:30:11, 60, 0, 101892,  ,  , 20.03,  ,  ,  ,  , 
17:30:12, 60, 0, 101892,  ,  , 19.40,  ,  ,  ,  , 
17:30:13, 60, 0, 101892,  ,  , 18.98,  ,  ,  ,  , 
17:30:14, 60, 0, 101893,  ,  , 18.77,  ,  ,  ,  , 
17:30:15, 60, 0, 101894,  ,  , 18.56,  ,  ,  ,  , 
17:30:16, 60, 0, 101896,  ,  , 18.46,  ,  ,  ,  , 
17:30:17, 59, -1, 101898,  ,  , 18.35,  ,  ,  ,  , 
17:30:18, 59, -1, 101901,  ,  , 18.25,  ,  ,  ,  , 
17:30:19, 59, -1, 101904,  ,  , 18.25,  ,  ,  ,  , 
17:30:20, 59, -1, 101900,  ,  , 18.15,  ,  ,  ,  , 
17:30:21, 60, 0, 101897,  ,  , 18.15,  ,  ,  ,  , 
17:30:22, 60, 0, 101894,  ,  , 18.04,  ,  ,  ,  , 
17:30:23, 60, 0, 101896,  ,  , 18.04,  ,  ,  ,  , 
17:30:24, 59, -1, 101899,  ,  , 18.04,  ,  ,  ,  , 
17:30:25, 59, -1, 101902,  ,  , 18.04,  ,  ,  ,  , 
17:30:26, 59, -1, 101900,  ,  , 17.94,  ,  ,  ,  , 
17:30:27, 59, -1, 101899,  ,  , 17.94,  ,  ,  ,  , 
17:30:28, 60, 0, 101898,  ,  , 17.94,  ,  ,  ,  , 
17:30:29, 60, 0, 101895,  ,  , 17.94,  ,  ,  ,  , 
17:30:30, 60, 0, 101893,  ,  , 17.94,  ,  ,  ,  , 
17:30:31, 60, 0, 101892,  ,  , 17.94,  ,  ,  ,  , 
17:30:32, 60, 0, 101893,  ,  , 17.94,  ,  ,  ,  , 
17:30:33, 60, 0, 101894,  ,  , 17.94,  ,  ,  ,  , 
17:30:34, 60, 0, 101896,  ,  , 17.94,  ,  ,  ,  , 
17:30:35, 59, -1, 101898,  ,  , 17.94,  ,  ,  ,  , 
17:30:36, 59, -1, 101901,  ,  , 17.94,  ,  ,  ,  , 
17:30:37, 59, -1, 101904,  ,  , 17.94,  ,  ,  ,  , 
17:30:38, 59, -1, 101901,  ,  , 17.94,  ,  ,  ,  , 
17:30:39, 59, -1, 101899,  ,  , 17.94,  ,  ,  ,  , 
17:30:40, 60, 0, 101898,  ,  , 17.94,  ,  ,  ,  , 
17:30:41, 60, 0, 101898,  ,  , 17.94,  ,  ,  ,  , 
17:30:42, 60, 0, 101898,  ,  , 17.94,  ,  ,  ,  , 
17:30:43, 60, 0, 101898,  ,  , 17.94,  ,  ,  ,  , 
17:30:44, 59, -1, 101898,  ,  , 17.94,  ,  ,  ,  , 
17:30:45, 59, -1, 101899,  ,  , 17.94,  ,  ,  ,  , 
17:30:46, 59, -1, 101900,  ,  , 17.94,  ,  ,  ,  , 
17:30:47, 59, -1, 101898,  ,  , 17.94,  ,  ,  ,  , 
17:30:48, 60, 0, 101897,  ,  , 17.94,  ,  ,  ,  , 
17:30:49, 60, 0, 101896,  ,  , 17.94,  ,  ,  ,  , 
17:30:50, 60, 0, 101893,  ,  , 17.94,  ,  ,  ,  , 
17:30:51, 60, 0, 101891,  ,  , 18.15,  ,  ,  ,  , 
17:30:52, 60, 0, 101890,  ,  , 18.25,  ,  ,  ,  , 
17:30:53, 60, 0, 101892,  ,  , 18.35,  ,  ,  ,  , 
17:30:54, 60, 0, 101895,  ,  , 18.25,  ,  ,  ,  , 
17:30:55, 60, 0, 101898,  ,  , 18.04,  ,  ,  ,  , 
17:30:56, 60, 0, 101895,  ,  , 17.94,  ,  ,  ,  , 
17:30:57, 60, 0, 101892,  ,  , 17.94,  ,  ,  ,  , 
17:30:58, 60, 0, 101890,  ,  , 17.94,  ,  ,  ,  , 
17:30:59, 60, 0, 101888,  ,  , 17.63,  ,  ,  ,  , 
17:31:00, 60, 0, 101887,  ,  , 17.43,  ,  ,  ,  , 
17:31:01, 61, 0, 101886,  ,  , 17.22,  ,  ,  ,  , 
17:31:02, 61, 0, 101886,  ,  , 17.12,  ,  ,  ,  , 
17:31:03, 61, 0, 101886,  ,  , 17.12,  ,  ,  ,  , 
17:31:04, 61, 0, 101886,  ,  , 17.02,  ,  ,  ,  , 
17:31:05, 61, 0, 101886,  ,  , 17.02,  ,  ,  ,  , 
17:31:06, 61, 0, 101886,  ,  , 17.02,  ,  ,  ,  , 
17:31:07, 61, 0, 101886,  ,  , 17.02,  ,  ,  ,  , 
17:31:10, 60, 0, 101890,  ,  , 2.62,  ,  ,  ,  , 
17:31:11, 60, 0, 101889,  ,  , 17.02,  ,  ,  ,  , 
17:31:12, 60, 0, 101888,  ,  , 17.02,  ,  ,  ,  , 
17:31:13, 60, 0, 101888,  ,  , 16.92,  ,  ,  ,  , 
17:31:14, 60, 0, 101888,  ,  , 16.82,  ,  ,  ,  , 
17:31:15, 60, 0, 101888,  ,  , 16.72,  ,  ,  ,  , 
