 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3 15  0
 Used Nearest Grid Point ( 146, 207) to Lat:    37.74, Lon:  -122.43
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1021     0  1022     0     0  13.4  85.4  -2.0 -0.86  1021  34.8  10.6  13.3     0  39.8   384  15.1   273  1000     0     0     0     0     0  24.1   6.0     0     0   286  12.4                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -5.2  -1.7   179  14.0   1.6  65.3     0    287.2  -4.7  -2.7         
   975  -6.3  -2.5   393  14.8  0.72  57.3     0    290.0  -5.7  -3.7         
   950  -6.1  -1.8   613  14.7     0  44.0     0    292.1  -5.6  -2.9         
   925  -6.5  -2.2   838  14.8  0.73  27.2     0    294.4  -6.0  -3.5         
   900  -6.6  -3.0  1069  14.9   1.7  14.0     0    296.8  -5.8  -4.2         
   875  -4.7  -3.5  1306  14.6   2.7   7.1     0    298.9  -3.9  -4.4         
   850  -3.1  -3.9  1550  13.7     0   5.0     0    300.5  -2.2  -4.5         
   825  -1.2  -2.2  1801  13.1     0   3.0     0    302.5  -0.7  -2.4         
   800  0.65 -0.20  2058  12.3     0   6.0     0    304.3   0.7  -0.1         
   775   1.7   1.2  2323  11.4  -2.1  10.0     0    306.1   1.5   1.5         
   750   2.2   2.0  2596  10.1  -2.7  11.0     0    307.6   1.8   2.4         
   725   2.3   2.7  2876   8.5  -3.4  12.0     0    308.8   1.7   3.1         
   700   2.6   3.5  3164   6.7     0  12.0     0    309.9   1.9   4.0         
   650   4.3   5.1  3767   2.8  -1.4  20.0  2E-2    312.1   3.2   5.9         
   600   6.8   5.4  4409  -1.5  -1.2  24.0     0    314.4   5.6   6.7         
   550  10.0   6.2  5095  -6.3     0  16.0     0    316.7   8.5   8.1         
   500  14.6   9.7  5833 -11.4   1.4   8.0     0    319.2  12.4  12.5         
   450  13.3  11.7  6629 -18.3  0.86  17.0     0    320.2  10.7  14.1         
   400  14.2  11.7  7496 -25.4   1.5  14.0     0    322.0  11.5  14.3         
   350  17.6  10.0  8447 -33.5   1.6  15.0     0    323.6  15.3  13.3         
   300  12.1   9.8  9509 -42.2   1.2  39.5  2E-2    325.9   9.9  12.0         
   250   9.5  12.0 10718 -50.3   1.2  62.8  2E-2    331.3   6.9  13.6         
   200  15.3  20.1 12148 -56.9   1.0  44.5  3E-2    342.7  11.0  22.7         
   150  15.3  25.6 13945 -63.6   1.0   9.5  2E-2    360.5   9.9  28.1         
   100  11.8  14.5 16403 -67.0  0.22   4.5  2E-2    398.2   8.6  16.6         
    50   4.9   5.3 20604 -64.5  0.33   6.2  2E-2    491.4   3.7   6.2         
