 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3 15  0
 Used Nearest Grid Point ( 147, 207) to Lat:    37.76, Lon:  -122.30
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1017  32.1  1022     0     0  11.9  90.4  -2.2 -0.49  1017  30.8   8.6  14.9     0  47.8   256  13.6   273  1000     0     0     0     0     0  23.1  10.0     0     0   288  12.4                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -4.7  -1.3   178  13.5   6.9  65.3     0    286.7  -4.3  -2.3         
   975  -6.2  -3.0   392  14.9   4.2  56.3     0    290.1  -5.5  -4.1         
   950  -5.8  -1.8   612  14.9   1.3  43.0     0    292.3  -5.4  -2.9         
   925  -6.0  -2.0   838  15.0   2.5  26.2     0    294.7  -5.5  -3.2         
   900  -6.2  -2.9  1069  15.0   1.7  13.0     0    297.0  -5.5  -4.0         
   875  -4.7  -3.1  1306  14.6   2.7   7.1     0    298.9  -4.0  -4.0         
   850  -3.0  -3.4  1550  13.7   2.5   4.0     0    300.5  -2.2  -3.9         
   825  -1.2  -2.2  1801  13.1     0   1.0     0    302.5  -0.7  -2.4         
   800  0.65 -1E-1  2058  12.5     0   3.0     0    304.4   0.7   0.1         
   775   1.6   1.3  2323  11.5  -2.1   6.0     0    306.2   1.3   1.6         
   750   2.1   1.8  2596  10.2  -2.7   7.0     0    307.7   1.7   2.2         
   725   2.3   2.5  2876   8.6  -3.4   7.0     0    308.9   1.8   2.9         
   700   2.5   3.3  3165   6.8     0   8.0     0    310.0   1.8   3.7         
   650   4.1   4.9  3768   2.8  -1.4  19.0  2E-2    312.1   3.0   5.6         
   600   6.6   5.2  4410  -1.5  -1.2  23.0     0    314.4   5.4   6.4         
   550  10.0   6.0  5096  -6.1  -1.9  15.0     0    316.8   8.6   7.8         
   500  14.8   9.5  5834 -11.3     0   8.0     0    319.3  12.6  12.2         
   450  13.2  11.3  6630 -18.3  0.86  18.0     0    320.2  10.7  13.7         
   400  14.0  11.3  7497 -25.4   1.5  14.0     0    322.0  11.5  13.9         
   350  17.5   9.5  8448 -33.5   3.4  15.0     0    323.6  15.2  12.8         
   300  11.9   9.4  9510 -42.2   2.9  39.5  2E-2    325.9   9.7  11.6         
   250   9.2  11.6 10719 -50.3   1.2  62.8  2E-2    331.3   6.7  13.2         
   200  15.1  20.3 12150 -56.6   1.0  41.5  3E-2    343.1  10.7  22.9         
   150  15.3  25.9 13948 -63.8     0   9.5  2E-2    360.2   9.8  28.5         
   100  11.6  14.6 16404 -67.2  0.22   4.5  2E-2    398.0   8.5  16.6         
    50   4.9   5.3 20605 -64.5  0.33   6.2  2E-2    491.4   3.7   6.2         
