 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3 15  0
 Used Nearest Grid Point ( 147, 209) to Lat:    37.97, Lon:  -122.35
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1019  24.1  1022     0     0  12.1  85.4  -1.2 -0.36  1019  26.8   6.6  10.2     0  39.8   256  12.7   273  1000     0     0     0     0     0  24.1   6.0     0     0   288  12.0                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -3.3 -0.97   180  13.5   2.5  66.3     0    286.7  -3.0  -1.6         
   975  -3.9  -2.5   394  14.4   3.4  60.3     0    289.6  -3.4  -3.2         
   950  -4.7  -2.3   613  14.2   4.8  49.0     0    291.6  -4.2  -3.2         
   925  -5.7  -3.0   838  14.3   4.2  29.2     0    293.9  -4.9  -4.1         
   900  -5.7  -3.9  1069  14.4   3.5  16.0     0    296.3  -4.8  -4.9         
   875  -4.9  -3.3  1306  14.4  0.99   9.1     0    298.8  -4.1  -4.2         
   850  -3.1  -3.5  1550  13.8     0   6.0     0    300.7  -2.3  -4.1         
   825  -1.2  -2.7  1801  13.0     0   5.0     0    302.4  -0.6  -2.9         
   800  0.65 -0.45  2058  12.3     0   6.0     0    304.3   0.7  -0.3         
   775   2.0   1.3  2323  11.4     0  11.0     0    306.1   1.7   1.7         
   750   2.5   2.1  2596  10.0 -0.97  14.0     0    307.4   2.0   2.5         
   725   2.7   2.7  2876   8.4     0  16.0     0    308.7   2.1   3.2         
   700   3.0   3.6  3164   6.6     0  16.0     0    309.8   2.2   4.2         
   650   4.6   5.2  3767   2.6     0  22.0  2E-2    312.0   3.5   6.1         
   600   6.9   5.7  4408  -1.6  -1.2  25.0     0    314.3   5.6   7.0         
   550   9.6   6.2  5094  -6.4     0  19.0     0    316.5   8.1   8.0         
   500  14.5   9.5  5831 -11.5   1.4   9.0     0    319.0  12.3  12.2         
   450  14.2  11.8  6628 -18.3  0.86  13.0     0    320.2  11.6  14.4         
   400  14.4  11.8  7494 -25.4   1.5  11.0     0    322.0  11.8  14.4         
   350  17.5  10.1  8446 -33.5   3.4  13.0     0    323.6  15.1  13.4         
   300  12.0   9.9  9508 -42.2   2.9  43.5  2E-2    325.9   9.8  12.1         
   250   9.8  12.1 10717 -50.4   1.2  62.8  2E-2    331.1   7.2  13.8         
   200  15.6  20.6 12146 -56.9   1.0  43.5  3E-2    342.7  11.1  23.3         
   150  15.7  26.2 13944 -63.6   1.0   9.5  2E-2    360.5  10.1  28.8         
   100  12.0  14.7 16402 -67.0  0.22   4.5  2E-2    398.2   8.8  16.8         
    50   4.9   5.5 20604 -64.4  0.33   6.2  2E-2    491.7   3.7   6.3         
