 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3 15  0
 Used Nearest Grid Point ( 148, 209) to Lat:    37.99, Lon:  -122.22
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1013  72.1  1022     0     0   9.6  88.4  -1.0  0.26  1013     0  -5.4  14.9  0.94  39.8   256   6.6   281   440     0     0     0     0     0  24.1   6.0     0     0   290  12.0                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -3.3  -1.3   180  12.8   4.7  69.3     0    286.0  -3.0  -2.0         
   975  -4.1  -3.2   394  14.3   4.2  61.3     0    289.5  -3.3  -4.0         
   950  -4.3  -2.3   613  14.2   5.7  50.0     0    291.6  -3.8  -3.1         
   925  -5.2  -2.9   838  14.3   5.1  30.2     0    293.9  -4.5  -3.8         
   900  -5.6  -3.6  1069  14.5   5.3  16.0     0    296.4  -4.7  -4.6         
   875  -5.0  -3.4  1306  14.3   2.7   9.1     0    298.7  -4.2  -4.3         
   850  -3.2  -3.2  1550  13.8   2.5   5.0     0    300.7  -2.5  -3.7         
   825  -1.1  -2.6  1800  13.0     0   3.0     0    302.4  -0.5  -2.8         
   800  0.78 -0.58  2058  12.6     0   3.0     0    304.6   0.9  -0.4         
   775   1.9   1.2  2323  11.7     0   6.0     0    306.4   1.6   1.5         
   750   2.2   2.0  2596  10.1 -0.97  10.0     0    307.6   1.8   2.4         
   725   2.5   2.6  2876   8.5     0  12.0     0    308.8   1.9   3.0         
   700   2.9   3.4  3165   6.7     0  12.0     0    309.9   2.1   3.9         
   650   4.3   5.0  3767   2.6     0  20.0  2E-2    312.0   3.3   5.8         
   600   6.8   5.3  4409  -1.5  -1.2  24.0     0    314.4   5.6   6.6         
   550   9.6   6.0  5095  -6.3     0  19.0     0    316.7   8.2   7.7         
   500  14.6   9.2  5832 -11.4   3.2   8.0     0    319.2  12.5  12.0         
   450  14.0  11.3  6629 -18.3   1.7  15.0     0    320.2  11.4  13.9         
   400  14.2  11.3  7495 -25.4   1.5  12.0     0    322.0  11.6  13.9         
   350  17.4   9.5  8447 -33.5   3.4  13.0     0    323.6  15.1  12.8         
   300  11.6   9.5  9509 -42.2   1.2  42.5  2E-2    325.9   9.5  11.6         
   250   9.6  11.7 10718 -50.4   1.2  62.8  2E-2    331.1   7.1  13.4         
   200  15.4  20.8 12148 -56.6   1.0  40.5  3E-2    343.1  11.0  23.5         
   150  15.6  26.4 13946 -63.6   1.0   9.5  2E-2    360.5  10.0  29.0         
   100  12.0  14.9 16403 -67.2  0.22   4.5  2E-2    398.0   8.8  17.0         
    50   4.7   5.3 20605 -64.4  0.33   6.2  2E-2    491.7   3.6   6.2         
