 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3 15  0
 Used Nearest Grid Point ( 148, 210) to Lat:    38.10, Lon:  -122.25
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1017  40.1  1022     0     0   9.7  96.4 -0.54 -0.36  1017   2.8  -3.4   5.5   1.1  39.8   128   6.8   283   864     0     0     0     0     0  24.1   6.0     0     0   290  11.7                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -1.7  -1.5   181  13.3  0.28  67.3     0    286.5  -1.3  -1.8         
   975  -2.4  -2.8   394  14.5  0.72  59.3     0    289.8  -1.8  -3.3         
   950  -3.5  -2.5   614  14.2   2.1  52.0     0    291.6  -2.9  -3.1         
   925  -4.5  -3.1   838  14.2   2.5  32.2     0    293.8  -3.8  -4.0         
   900  -5.1  -3.9  1069  14.5   1.7  16.0     0    296.4  -4.2  -4.8         
   875  -4.2  -3.6  1306  14.1  0.99   9.1     0    298.4  -3.4  -4.4         
   850  -3.2  -3.0  1550  13.8     0   6.0     0    300.7  -2.6  -3.6         
   825  -1.1  -2.6  1801  13.1     0   5.0     0    302.5  -0.5  -2.8         
   800  0.78 -0.83  2058  12.3     0   5.0     0    304.3   0.9  -0.7         
   775   2.0   1.2  2323  11.4     0   9.0     0    306.1   1.7   1.5         
   750   2.5   2.1  2596  10.0 -0.97  13.0     0    307.4   2.0   2.5         
   725   2.7   2.7  2876   8.4     0  16.0     0    308.7   2.1   3.2         
   700   3.1   3.5  3164   6.4     0  17.0     0    309.6   2.4   4.1         
   650   4.7   5.1  3767   2.5     0  22.0  2E-2    311.8   3.6   6.0         
   600   6.9   5.6  4408  -1.6  -1.2  26.0     0    314.3   5.7   6.8         
   550   9.5   6.1  5094  -6.4   1.6  21.0     0    316.5   8.1   7.8         
   500  14.4   9.2  5831 -11.5   3.2   9.0     0    319.0  12.3  11.9         
   450  14.6  11.6  6627 -18.2   1.7  11.0     0    320.4  12.0  14.3         
   400  14.4  11.7  7494 -25.4   1.5  10.0     0    322.0  11.8  14.3         
   350  17.3   9.9  8446 -33.4   3.4  13.0     0    323.8  14.9  13.1         
   300  11.7   9.8  9508 -42.2   1.2  45.5  2E-2    325.9   9.5  11.9         
   250   9.8  12.0 10717 -50.4   1.2  62.8  2E-2    331.1   7.3  13.7         
   200  15.7  20.9 12146 -56.7   1.0  41.5  3E-2    342.9  11.2  23.6         
   150  15.8  26.6 13944 -63.6   1.0   9.5  2E-2    360.5  10.2  29.2         
   100  12.1  15.0 16402 -67.2  0.22   4.5  2E-2    398.0   8.9  17.1         
    50   4.9   5.5 20604 -64.3  0.33   6.2  2E-2    492.0   3.7   6.3         
