 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3 18  0
 Used Nearest Grid Point ( 146, 207) to Lat:    37.74, Lon:  -122.43
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1022     0  1022     0     0  14.9  79.2  -2.0 -0.94  1022  51.2  10.9  15.4     0   524   415  16.0   273  1000     0     0     0     0     0  24.1   4.0     0     0   285  11.5                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -3.5  -1.5   186  14.7     0  70.1  0.14    287.9  -3.2  -2.2         
   975  -7.4  -1.8   400  14.3     0  60.1     0    289.6  -6.9  -3.2         
   950  -7.9   1.0   619  14.0  -2.7  54.0     0    291.4  -7.9  -0.6         
   925  -7.1   2.3   844  15.0  -3.9  32.5     0    294.6  -7.4   0.8         
   900  -6.8   1.2  1076  16.2  -3.0  14.1     0    298.2  -6.9  -0.2         
   875  -5.3  0.60  1315  16.2  -1.8   4.0     0    300.6  -5.3  -0.5         
   850  -2.4  0.37  1560  15.5  -1.7   3.0     0    302.4  -2.4  -0.1         
   825 -0.34  0.60  1812  14.4  -2.9   3.0     0    303.8  -0.5   0.5         
   800   1.3   1.4  2070  13.0  -3.6   4.0     0    305.0   0.9   1.7         
   775   2.3   2.2  2336  11.8  -3.5   4.0     0    306.5   1.8   2.6         
   750   2.4   3.1  2608  10.4  -3.3   4.0     0    307.9   1.7   3.6         
   725   2.1   3.8  2889   8.8  -3.6   7.0     0    309.1   1.4   4.1         
   700   2.2   4.1  3177   6.5  -2.4  12.0     0    309.7   1.4   4.5         
   650   3.6   3.8  3780   2.7  -1.3  24.0     0    312.0   2.8   4.4         
   600   5.2   2.9  4421  -1.8     0  26.0  2E-2    314.0   4.5   3.9         
   550   7.8   4.7  5107  -6.2   1.5  16.0     0    316.7   6.7   6.2         
   500  11.4   9.2  5845 -11.4   2.4  10.0  2E-2    319.1   9.4  11.3         
   450  10.8  11.0  6641 -17.9   3.0  13.0     0    320.7   8.4  12.9         
   400  13.6  12.4  7509 -25.1   2.6  15.0  3E-2    322.4  10.8  14.8         
   350  14.8  12.7  8462 -33.1   2.8  19.0  1E-2    324.2  12.0  15.4         
   300  11.7  13.1  9526 -41.9   2.6  35.0  2E-2    326.4   8.9  15.1         
   250  13.0  14.4 10736 -50.1     0  61.5  2E-2    331.5   9.8  16.7         
   200  16.2  16.5 12168 -56.4 -0.55  40.3  2E-2    343.5  12.6  19.4         
   150  14.2  21.0 13967 -63.1 -0.14   7.7  2E-2    361.5   9.7  23.4         
   100  10.9  13.8 16427 -66.8 -0.69   4.5  2E-2    398.7   7.9  15.7         
    50   5.7   5.6 20634 -64.3  0.67   5.2  2E-2    492.0   4.5   6.7         
