 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3 18  0
 Used Nearest Grid Point ( 146, 209) to Lat:    37.95, Lon:  -122.49
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1018  40.1  1023     0     0  15.0  82.2  -1.5 -0.57  1018  55.2  50.9  34.1   1.9   516   671  17.8   289   480     0     0     0     0     0  24.1   6.0     0     0   284   9.5                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.0 -0.87   189  14.4     0  85.1  0.51    287.5  -1.8  -1.3         
   975  -5.0  -1.7   403  14.1     0  65.1     0    289.3  -4.5  -2.6         
   950  -7.5 -0.11   622  12.8  -1.8  62.0     0    290.2  -7.3  -1.6         
   925  -7.6   1.2   846  13.5  -3.1  46.5     0    293.1  -7.7  -0.4         
   900  -7.5  0.53  1077  14.7  -3.0  22.1     0    296.7  -7.4  -1.0         
   875  -6.3     0  1315  15.2  -3.6   7.0     0    299.6  -6.2  -1.3         
   850  -3.9  0.49  1560  15.4  -2.6   3.0     0    302.3  -3.9  -0.3         
   825 -0.72  0.35  1812  14.6  -2.1   6.0     0    304.1  -0.8   0.2         
   800   1.1   1.3  2070  13.2  -1.8   6.0     0    305.3   0.8   1.5         
   775   2.5   2.3  2336  11.6  -1.8   7.0     0    306.3   2.0   2.8         
   750   2.9   3.4  2608  10.3  -1.5   8.0     0    307.8   2.2   3.9         
   725   2.8   4.1  2889   8.7  -1.8  11.0     0    309.0   1.9   4.6         
   700   3.0   4.5  3177   6.4  -1.6  15.0     0    309.6   2.0   5.0         
   650   4.4   4.4  3779   2.4  -1.3  26.0     0    311.7   3.4   5.2         
   600   5.5   3.4  4420  -1.9  0.71  30.0  2E-2    313.9   4.7   4.4         
   550   7.3   4.8  5105  -6.6   2.8  19.0     0    316.3   6.2   6.2         
   500  11.8   9.2  5842 -11.6   3.5  10.0  2E-2    319.0   9.7  11.3         
   450  11.0  11.2  6638 -18.2   3.0  15.0     0    320.4   8.5  13.2         
   400  13.7  12.7  7506 -25.2   2.6  16.0  3E-2    322.3  10.9  15.2         
   350  15.2  12.9  8458 -33.2   1.5  18.0  1E-2    324.0  12.3  15.7         
   300  12.1  13.4  9522 -41.7   1.7  37.0  2E-2    326.5   9.2  15.6         
   250  13.2  14.8 10733 -50.3     0  62.5  2E-2    331.4  10.0  17.1         
   200  16.7  16.8 12163 -56.6 -0.55  41.3  2E-2    343.1  13.0  19.8         
   150  14.4  21.3 13961 -62.9 -0.14   7.7  2E-2    361.7   9.8  23.8         
   100  11.2  14.1 16423 -66.7 -0.69   4.5  2E-2    398.9   8.1  16.0         
    50   6.0   5.7 20631 -64.3  0.67   5.2  2E-2    492.0   4.7   6.8         
