 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3 18  0
 Used Nearest Grid Point ( 147, 209) to Lat:    37.97, Lon:  -122.35
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1020  24.1  1023     0     0  15.0  79.2  -1.8 -0.44  1020  47.2  38.9  23.2     0   516   671  17.3   273  1000     0     0     0     0     0  24.1   6.0     0     0   284  10.4                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.3 -0.49   189  14.4     0  81.1  0.32    287.5  -2.1  -0.9         
   975  -5.4  -2.0   403  14.3     0  60.1     0    289.6  -4.8  -3.1         
   950  -7.1 -0.11   622  13.1     0  62.0     0    290.5  -7.0  -1.5         
   925  -7.1   1.4   846  14.1  -1.3  46.5     0    293.7  -7.3  -0.0         
   900  -7.0  0.78  1078  15.0  -2.1  21.1     0    296.9  -7.0  -0.6         
   875  -5.9  0.23  1316  15.3  -1.8   7.0     0    299.7  -5.8  -1.0         
   850  -3.9  0.62  1561  15.5  -1.7   3.0     0    302.4  -3.9  -0.2         
   825 -0.59  0.60  1813  14.7  -2.1   3.0     0    304.2  -0.7   0.5         
   800   1.4   1.3  2071  13.1  -1.8   4.0     0    305.1   1.1   1.6         
   775   2.5   2.3  2336  11.6  -2.6   5.0     0    306.3   2.0   2.8         
   750   2.8   3.1  2609  10.4  -1.5   6.0     0    307.9   2.1   3.6         
   725   2.6   3.8  2890   8.7  -1.8   9.0     0    309.0   1.8   4.2         
   700   2.7   4.2  3178   6.4 -0.68  14.0     0    309.6   1.8   4.7         
   650   4.1   4.0  3780   2.5     0  26.0     0    311.8   3.2   4.8         
   600   5.3   3.1  4421  -1.9     0  29.0  2E-2    313.9   4.6   4.1         
   550   7.4   4.6  5106  -6.5   2.8  18.0     0    316.4   6.4   6.0         
   500  11.9   8.9  5844 -11.6   3.5   9.0  2E-2    319.0   9.9  11.1         
   450  10.9  11.0  6640 -18.0   3.0  15.0     0    320.6   8.5  12.9         
   400  13.5  12.4  7507 -25.1   2.6  16.0  3E-2    322.4  10.7  14.8         
   350  15.1  12.5  8460 -33.2   1.5  18.0  1E-2    324.0  12.3  15.3         
   300  11.9  12.9  9524 -41.7   1.7  35.0  2E-2    326.5   9.0  15.0         
   250  12.8  14.3 10734 -50.3     0  61.5  2E-2    331.4   9.7  16.5         
   200  16.5  16.7 12165 -56.5 -0.55  40.3  2E-2    343.3  12.8  19.7         
   150  14.4  21.7 13964 -63.1 -0.14   7.7  2E-2    361.5   9.8  24.2         
   100  11.2  14.2 16425 -66.8 -0.69   4.5  2E-2    398.7   8.1  16.1         
    50   5.9   5.6 20632 -64.3  0.67   5.2  2E-2    492.0   4.6   6.7         
