 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3 18  0
 Used Nearest Grid Point ( 148, 207) to Lat:    37.79, Lon:  -122.17
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1007   128  1022     0     0  15.7  64.2  -2.1 -0.44  1007  35.2   107  51.3   1.1   532   543  19.5   287   864     0     0     0     0     0  24.1   4.0     0     0   285  11.4                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -1.9 -0.12   187  15.0   4.5  69.1   1.0    288.1  -1.8  -0.5         
   975  -5.0  -1.4   401  14.1  12.4  65.1  0.50    289.3  -4.6  -2.4         
   950  -6.9 -0.23   620  14.0   7.8  59.0     0    291.4  -6.7  -1.6         
   925  -6.6   2.7   845  15.0   1.3  37.5     0    294.6  -7.0   1.3         
   900  -6.0   2.7  1077  16.0   1.4  19.1     0    298.0  -6.4   1.4         
   875  -5.2   1.9  1316  16.1  0.84   6.0     0    300.5  -5.4   0.8         
   850  -2.6   1.5  1561  16.3 -0.81   1.0     0    303.2  -2.9   0.9         
   825 -1E-1   1.1  1814  15.0  -2.9   1.0     0    304.5  -0.3   1.1         
   800   1.0   1.7  2072  13.1  -3.6     0     0    305.1   0.6   1.9         
   775   1.9   2.2  2337  11.6  -5.3     0     0    306.3   1.4   2.5         
   750   2.3   2.5  2610  10.4  -5.0   1.0     0    307.9   1.7   2.9         
   725   1.9   3.0  2891   8.9  -2.7   3.0     0    309.3   1.3   3.3         
   700   1.9   3.3  3179   6.6  -1.6   8.0     0    309.8   1.2   3.7         
   650   3.0   3.4  3782   2.7     0  22.0     0    312.0   2.3   3.9         
   600   5.0   2.4  4423  -1.7     0  25.0  2E-2    314.2   4.4   3.3         
   550   7.7   3.9  5109  -6.2 -0.69  15.0     0    316.7   6.8   5.4         
   500  11.6   8.5  5847 -11.4  0.23  10.0  2E-2    319.1   9.6  10.7         
   450  10.6  10.5  6644 -17.9  0.85  12.0     0    320.7   8.4  12.4         
   400  13.2  11.5  7512 -24.9   2.6  15.0  3E-2    322.6  10.7  13.9         
   350  14.7  11.8  8465 -33.1   2.8  20.0  1E-2    324.2  12.1  14.5         
   300  11.2  12.2  9529 -41.9   2.6  33.0  2E-2    326.4   8.6  14.2         
   250  12.2  13.4 10739 -50.1     0  60.5  2E-2    331.5   9.3  15.5         
   200  15.7  16.3 12172 -56.2  -1.4  38.3  2E-2    343.7  12.1  19.1         
   150  14.2  21.8 13972 -63.2 -0.14   7.7  2E-2    361.3   9.5  24.2         
   100  10.8  13.9 16430 -67.0 -0.69   4.5  2E-2    398.2   7.8  15.8         
    50   5.6   5.5 20635 -64.3  0.67   6.2  2E-2    492.0   4.4   6.5         
