 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3 21  0
 Used Nearest Grid Point ( 148, 204) to Lat:    37.47, Lon:  -122.09
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1008  88.1  1019     0     0  22.0  43.1  -2.1  -1.5  1008  31.2   151  44.9   1.1   596  1144  27.2   294   840     0     0     0     0     0  24.1     0     0     0   282   8.7                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -1.9  -1.2   161  20.2  -1.8  47.2   1.0    293.4  -1.6  -1.5         
   975  -2.6  -1.4   378  17.8  -1.9  52.9   1.1    293.1  -2.2  -1.8         
   950  -3.0  -1.1   599  15.8  -3.3  55.8   1.0    293.2  -2.7  -1.6         
   925  -2.8   3.8   826  17.2   1.3  22.5  0.12    296.9  -3.5   3.2         
   900  -2.6   5.4  1059  17.5     0  11.7     0    299.5  -3.6   4.8         
   875  -1.4   5.3  1299  17.0  -3.0   6.0     0    301.5  -2.4   4.9         
   850 -0.56   3.6  1545  15.7 -0.99   3.0     0    302.6  -1.3   3.4         
   825 -0.99   2.5  1796  14.8     0   1.0     0    304.2  -1.5   2.2         
   800 -0.61   1.8  2055  13.3     0     0     0    305.4  -1.0   1.6         
   775 -0.43   1.5  2320  11.8     0     0     0    306.5  -0.7   1.4         
   750  1E-1   1.5  2593  10.5  -1.6   1.0     0    308.0  -0.3   1.5         
   725     0   1.6  2874   9.1  -2.2   3.0     0    309.5  -0.3   1.6         
   700  0.25   2.0  3163   7.1  -2.1   9.0     0    310.4  -0.1   2.0         
   650   1.1   2.6  3767   3.2   2.1  19.0     0    312.6   0.6   2.7         
   600   2.4   2.5  4409  -1.3   1.3  20.0     0    314.6   1.8   2.9         
   550   7.8   5.2  5096  -5.6   2.9   9.0  2E-2    317.4   6.6   6.6         
   500  10.4   9.4  5835 -11.3   3.1   9.0  2E-2    319.3   8.3  11.3         
   450  11.4  10.6  6632 -17.9   2.5  11.3     0    320.7   9.0  12.6         
   400  14.1  11.0  7500 -25.3   2.3  18.0  2E-2    322.2  11.7  13.6         
   350  13.8  12.3  8452 -33.4   2.1  23.1  2E-2    323.7  11.1  14.8         
   300  10.9  13.5  9514 -42.1   3.0  36.4  3E-2    326.1   8.0  15.4         
   250  16.8  12.0 10727 -49.5 -0.65  60.8  2E-2    332.5  14.1  15.1         
   200  16.4  15.2 12158 -57.0  -2.1  50.3  1E-2    342.6  13.1  18.2         
   150  14.5  20.5 13952 -63.3     0  11.5     0    361.1  10.1  23.0         
   100  12.4  12.6 16411 -66.6  0.13   4.5  2E-2    399.1   9.6  14.8         
    50   4.8   6.1 20620 -64.5  0.12   5.2  2E-2    491.5   3.5   6.9         
