 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3 21  0
 Used Nearest Grid Point ( 149, 206) to Lat:    37.70, Lon:  -122.01
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
   997   192  1019     0     0  20.6  50.1  -3.3  -1.5   997  83.2   163  55.8  0.94   588   760  25.6   292   424     0     0     0     0     0  24.1     0     0     0   281   8.0                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.8  -1.3   163  19.3   7.0  54.2  0.75    292.5  -2.4  -1.8         
   975  -3.6  -1.4   381  17.5   9.6  57.9   1.1    292.7  -3.2  -2.0         
   950  -4.2  -1.2   602  15.3   9.0  63.8  0.88    292.7  -3.9  -2.0         
   925  -4.4   3.0   828  16.7   3.9  31.5     0    296.4  -5.0   2.1         
   900  -1.4   3.8  1061  16.6  -1.2  18.7     0    298.6  -2.2   3.5         
   875 -0.18   4.4  1300  16.1  -3.0  10.0     0    300.6  -1.0   4.3         
   850  0.31   4.8  1545  15.7  -2.8   4.0     0    302.6  -0.6   4.8         
   825 -0.24   2.6  1797  14.9     0   1.0     0    304.4  -0.7   2.5         
   800 -0.61   2.7  2056  13.3   1.8     0     0    305.4  -1.1   2.5         
   775  0.44   2.1  2321  11.8     0     0     0    306.5   0.0   2.2         
   750  0.68   1.7  2594  10.6  -1.6     0     0    308.1   0.3   1.8         
   725  0.51   1.6  2875   9.1  -2.2   2.0     0    309.5   0.2   1.7         
   700  0.62   2.1  3163   7.1  -2.1   8.0     0    310.4   0.2   2.2         
   650   1.6   2.8  3767   3.1     0  20.0     0    312.5   1.0   3.1         
   600   2.4   2.9  4409  -1.5   3.0  22.0     0    314.4   1.8   3.3         
   550   7.5   4.9  5096  -5.8   1.2  11.0  2E-2    317.3   6.4   6.3         
   500  11.1   9.4  5834 -11.3   1.3   9.0  2E-2    319.3   9.0  11.4         
   450  11.9  10.4  6632 -17.9   1.6  11.3     0    320.7   9.6  12.6         
   400  14.7  11.0  7499 -25.3   3.2  18.0  2E-2    322.2  12.3  13.7         
   350  14.1  12.3  8451 -33.4   3.0  22.1  2E-2    323.7  11.4  14.9         
   300  11.0  13.2  9514 -42.1   3.0  35.4  3E-2    326.1   8.2  15.2         
   250  16.7  11.9 10726 -49.6 -0.65  60.8  2E-2    332.3  14.0  15.0         
   200  16.6  15.4 12157 -57.1  -3.0  52.3  1E-2    342.4  13.2  18.4         
   150  14.7  21.0 13950 -63.3     0  10.5     0    361.1  10.3  23.5         
   100  12.6  12.9 16409 -66.6  0.13   4.5  2E-2    399.1   9.8  15.1         
    50   4.8   5.9 20621 -64.4  0.12   5.2  2E-2    491.8   3.6   6.8         
