 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3 21  0
 Used Nearest Grid Point ( 150, 204) to Lat:    37.51, Lon:  -121.82
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
   978   352  1019     0     0  21.8  44.1  -2.8  -1.0   978  75.2   147  44.9  0.94   596  1016  27.1   292   400     0     0     0     0     0  24.1     0     0     0   280   6.7                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.6 -0.94   159  21.7   6.2  47.2  0.50    294.9  -2.4  -1.4         
   975  -2.7 -0.86   377  20.6   5.2  46.9  0.38    295.9  -2.5  -1.4         
   950  -3.4 -0.45   600  18.2   2.8  51.8   1.1    295.7  -3.2  -1.1         
   925  -3.4  0.92   828  16.3 -0.49  50.5  0.88    296.0  -3.6   0.2         
   900  -1.7   4.2  1061  17.0   5.8  20.7  0.25    299.0  -2.5   3.8         
   875 -0.68   4.3  1300  16.9   2.3  11.0     0    301.3  -1.5   4.0         
   850 -0.31   4.1  1546  15.8 -0.99   6.0     0    302.7  -1.1   3.9         
   825 -0.36   3.3  1797  14.5     0   4.0     0    304.0  -1.0   3.2         
   800  -1.1   2.0  2056  13.5     0   2.0     0    305.5  -1.5   1.8         
   775  -1.2   1.9  2322  11.8   3.3   1.0     0    306.5  -1.5   1.6         
   750 -0.82   1.9  2594  10.3   1.9   1.0     0    307.8  -1.2   1.7         
   725 -0.61   1.3  2875   8.9     0   3.0     0    309.2  -0.9   1.2         
   700 -0.25   1.2  3164   7.3  -2.1   7.0     0    310.5  -0.5   1.1         
   650  0.84   2.1  3768   3.5   2.1  18.0     0    312.9   0.4   2.2         
   600   1.9   2.1  4411  -1.2   4.8  19.0     0    314.7   1.4   2.4         
   550   6.9   4.2  5098  -5.6   1.2   9.0  2E-2    317.4   5.9   5.4         
   500  10.0   8.6  5837 -11.2   1.3   8.0  2E-2    319.4   8.1  10.4         
   450  11.1   9.7  6634 -17.9   2.5  12.3     0    320.7   9.0  11.7         
   400  13.7  10.0  7501 -25.1   2.3  18.0  2E-2    322.3  11.5  12.5         
   350  13.6  11.3  8454 -33.4   3.0  24.1  2E-2    323.7  11.1  13.8         
   300  10.3  12.2  9517 -42.1   3.0  32.4  3E-2    326.1   7.6  14.0         
   250  15.9  11.1 10729 -49.5     0  58.8  2E-2    332.5  13.4  14.1         
   200  15.8  14.4 12161 -56.8  -2.1  49.3  1E-2    342.8  12.7  17.3         
   150  14.2  20.0 13955 -63.3     0  10.5     0    361.1  10.0  22.5         
   100  12.1  12.8 16412 -66.7  0.13   4.5  2E-2    398.9   9.4  14.9         
    50   4.7   5.8 20621 -64.5  0.12   5.2  2E-2    491.5   3.5   6.6         
