 Meteorological Profile: 20161104_nam12
 File start time : 16 11  4  0  0
 File ending time: 16 11  4 21  0
 
___________________________________________________ 
 Profile Time:  16 11  4  0  0
 Used Nearest Grid Point ( 148, 205) to Lat:    37.58, Lon:  -122.11
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1010  80.1  1018     0     0  21.7  53.4 -0.99  -1.1  1010  27.8   8.3  33.2   1.1   127  1052  22.3   296   840     0     0     0     0     0  24.3  28.0     0     0   279   6.6                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -1.0 -0.52   158  20.7   1.1  52.0  0.50    293.9  -0.9  -0.7         
   975  -2.4 -0.50   376  18.7   1.0  52.7  0.25    294.0  -2.2  -1.0         
   950  -2.6 -0.14   598  17.0   2.4  57.0  0.25    294.5  -2.5  -0.6         
   925 -0.86   2.9   826  17.6   1.5  29.9     0    297.3  -1.4   2.7         
   900  0.40   5.2  1059  17.4  -2.0  30.0     0    299.5  -0.6   5.2         
   875  0.60   4.9  1299  17.0  -1.3  17.0     0    301.4  -0.4   4.9         
   850  0.78   3.4  1545  16.6  -1.8   8.0     0    303.6   0.1   3.5         
   825  4E-2   2.8  1798  15.2     0   5.0     0    304.6  -0.5   2.8         
   800 -0.75   2.6  2057  13.4   2.2   3.0     0    305.4  -1.2   2.4         
   775  -1.4   2.3  2322  11.7   1.4   2.4     0    306.4  -1.9   2.0         
   750  -1.3   1.8  2595  10.3   1.4   2.0     0    307.8  -1.6   1.5         
   725  -1.2   1.4  2875   8.8     0   5.0     0    309.1  -1.4   1.2         
   700 -0.76   1.6  3164   6.8  -1.2  11.0  2E-2    310.0  -1.1   1.4         
   650  0.16   2.8  3767   3.1 -0.43  20.0  2E-2    312.5  -0.4   2.8         
   600   1.1   3.4  4409  -1.4 -0.38  21.0  2E-2    314.6   0.4   3.5         
   550   6.4   5.2  5097  -5.6  -1.5   9.0  2E-2    317.5   5.2   6.3         
   500  10.8   8.3  5835 -11.3 -0.36  10.0  2E-2    319.2   8.9  10.3         
   450  10.5   9.7  6632 -18.0  0.30  14.0  2E-2    320.6   8.4  11.6         
   400  11.9   9.3  7499 -25.3   1.1  21.0  2E-2    322.1   9.8  11.4         
   350  12.8  12.4  8451 -33.4   2.1  28.0  2E-2    323.7  10.1  14.7         
   300  12.6  13.9  9513 -42.0   1.1  50.0  2E-2    326.1   9.6  16.1         
   250  17.8  10.7 10728 -49.7  -1.7  65.8  2E-2    332.2  15.3  14.0         
   200  15.5  16.8 12154 -57.0  -1.3  48.3  2E-2    342.5  11.8  19.6         
   150  15.1  20.1 13951 -61.8 -0.49   8.6     0    363.6  10.8  22.7         
   100  13.8  10.6 16428 -65.8 -0.14   4.4  2E-2    400.5  11.4  13.2         
    50   4.1   4.6 20637 -64.8 -0.34   5.2  2E-2    490.8   3.1   5.4         
