 Meteorological Profile: 20161104_nam12
 File start time : 16 11  4  0  0
 File ending time: 16 11  4 21  0
 
___________________________________________________ 
 Profile Time:  16 11  4  0  0
 Used Nearest Grid Point ( 149, 205) to Lat:    37.60, Lon:  -121.98
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1000   160  1019     0     0  20.9  56.4  -1.4 -0.84  1000  27.8   6.3  30.1  0.94   125   924  21.5   295   384     0     0     0     0     0  24.3  26.0     0     0   278   6.3                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -1.4 -0.77   158  20.5   3.3  55.0  0.25    293.6  -1.2  -1.0         
   975  -2.3 -0.50   376  18.7   4.5  55.7  0.25    294.0  -2.1  -0.9         
   950  -2.7  0.11   598  17.2   5.9  59.0  0.25    294.6  -2.7  -0.4         
   925  -2.1   2.4   826  17.9   3.3  29.9     0    297.6  -2.5   1.9         
   900  0.15   4.8  1060  17.3  -1.1  33.0     0    299.3  -0.8   4.7         
   875  0.48   5.7  1299  16.6  -1.3  23.0     0    301.1  -0.7   5.6         
   850  0.66   4.0  1545  16.2  -1.8  11.0     0    303.2  -0.2   4.1         
   825  0.16   3.1  1798  15.2  -1.9   6.0     0    304.6  -0.4   3.0         
   800 -0.75   2.5  2057  13.5     0   4.0     0    305.5  -1.2   2.3         
   775  -1.7   2.2  2322  11.6   2.3   3.4     0    306.3  -2.1   1.8         
   750  -1.8   1.7  2595  10.2   1.4   2.0     0    307.7  -2.1   1.3         
   725  -1.7   1.1  2875   8.8     0   4.0     0    309.1  -1.8   0.7         
   700  -1.1  0.98  3163   6.9  -1.2  11.0  2E-2    310.2  -1.3   0.7         
   650 -1E-1   2.7  3767   3.1 -0.43  21.0  2E-2    312.5  -0.6   2.6         
   600  0.58   3.5  4409  -1.4 -0.38  20.0  2E-2    314.6  -0.1   3.5         
   550   6.0   4.9  5097  -5.6  -2.8   9.0  2E-2    317.5   4.9   6.0         
   500  10.7   7.9  5835 -11.3  -2.6  10.0  2E-2    319.2   8.9   9.9         
   450  10.5   9.3  6632 -18.0 -0.80  14.0  2E-2    320.6   8.5  11.2         
   400  11.7   8.8  7499 -25.3   1.1  21.0  2E-2    322.1   9.7  10.9         
   350  12.6  11.8  8451 -33.3   2.1  28.0  2E-2    323.9  10.0  14.0         
   300  12.2  13.3  9513 -42.2   2.4  48.0  2E-2    326.0   9.4  15.4         
   250  17.4  10.2 10728 -49.6 -0.40  65.8  2E-2    332.4  15.1  13.5         
   200  15.1  16.5 12155 -57.0  -1.3  49.3  2E-2    342.5  11.6  19.1         
   150  14.9  19.8 13951 -62.0 -0.49   8.6     0    363.3  10.7  22.4         
   100  13.7  10.6 16428 -65.8 -0.14   4.4  2E-2    400.5  11.3  13.1         
    50   4.1   4.6 20636 -64.9 -0.34   5.2  2E-2    490.5   3.1   5.4         
