 Meteorological Profile: 20161104_nam12
 File start time : 16 11  4  0  0
 File ending time: 16 11  4 21  0
 
___________________________________________________ 
 Profile Time:  16 11  4  0  0
 Used Nearest Grid Point ( 150, 204) to Lat:    37.51, Lon:  -121.82
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
   978   352  1019     0     0  20.6  56.4 -0.99 -0.59   978  27.8   2.3  25.4  0.94   127   796  21.1   294   400     0     0     0     0     0  24.3  14.0     0     0   278   5.6                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -1.2 -0.27   156  21.3  -2.0  55.0     0    294.5  -1.1  -0.5         
   975  -1.1 -0.25   375  20.1  -1.2  55.7  0.12    295.4  -1.1  -0.5         
   950  -1.7  0.24   597  17.8     0  56.0  0.25    295.3  -1.7  -0.1         
   925  -1.7   1.4   825  16.9   1.5  53.9     0    296.6  -2.0   1.0         
   900 -0.22   3.6  1059  17.5   6.8  32.0     0    299.6  -0.9   3.4         
   875  0.35   5.3  1299  16.4   6.6  34.0     0    300.8  -0.7   5.3         
   850  0.16   4.4  1544  15.7   5.3  20.0     0    302.7  -0.7   4.3         
   825 -1E-1   2.3  1797  15.2     0   9.0     0    304.6  -0.5   2.2         
   800 -0.62   1.8  2056  13.7     0   5.0     0    305.8  -1.0   1.7         
   775  -1.4   1.4  2322  12.0     0   4.4     0    306.7  -1.7   1.1         
   750  -2.2   1.4  2594  10.1     0   5.0     0    307.5  -2.4   1.0         
   725  -2.4   1.2  2874   8.4     0   5.0     0    308.7  -2.6   0.7         
   700  -1.9  0.86  3163   6.7  -1.2   9.0  2E-2    309.9  -2.0   0.5         
   650 -0.59   2.0  3766   3.5 -0.43  20.0  2E-2    312.9  -1.0   1.9         
   600  0.33   3.2  4410  -1.1  0.50  19.0  2E-2    314.8  -0.3   3.3         
   550   5.4   4.6  5097  -5.4  -2.8   9.0  2E-2    317.6   4.4   5.5         
   500  10.2   7.4  5835 -11.3  -2.6  10.0  2E-2    319.2   8.5   9.3         
   450  10.3   8.7  6633 -18.0  0.30  14.0  2E-2    320.6   8.4  10.5         
   400  11.0   8.0  7500 -25.3   1.1  21.0  2E-2    322.1   9.2  10.0         
   350  11.9  11.0  8452 -33.3   3.4  27.0  2E-2    323.9   9.5  13.1         
   300  11.6  12.3  9514 -42.2   2.4  45.0  2E-2    326.0   9.0  14.3         
   250  16.8   9.5 10729 -49.4  -1.7  65.8  2E-2    332.6  14.6  12.6         
   200  14.6  15.7 12157 -56.9  -2.6  49.3  2E-2    342.7  11.3  18.3         
   150  14.7  19.3 13953 -62.1  0.61   8.6     0    363.1  10.6  21.8         
   100  13.5  10.5 16428 -66.0 -0.14   4.4  2E-2    400.3  11.1  12.9         
    50   3.9   4.6 20635 -65.0 -0.34   5.2  2E-2    490.2   2.9   5.3         
