 Meteorological Profile: 20161104_nam12
 File start time : 16 11  4  0  0
 File ending time: 16 11  4 21  0
 
___________________________________________________ 
 Profile Time:  16 11  4  0  0
 Used Nearest Grid Point ( 150, 205) to Lat:    37.62, Lon:  -121.85
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
   986   288  1019     0     0  20.1  59.4  -1.5 -0.72   986  31.8   4.3  30.1  0.94   125   924  20.5   294   400     0     0     0     0     0  24.3  14.0     0     0   278   6.1                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -1.5 -0.27   159  20.3     0  58.0  0.25    293.5  -1.4  -0.6         
   975  -1.9 -0.25   377  19.0     0  58.7  0.25    294.2  -1.8  -0.6         
   950  -2.3  0.24   599  16.8   2.4  60.0  0.25    294.2  -2.3  -0.2         
   925  -2.6   1.9   825  16.6   3.3  44.9     0    296.3  -2.9   1.4         
   900  0.15   3.7  1059  17.5   3.3  30.0     0    299.6  -0.6   3.6         
   875  0.60   5.2  1299  16.6   4.0  32.0     0    301.1  -0.4   5.2         
   850  0.28   3.4  1545  16.0   1.7  18.0     0    302.9  -0.4   3.4         
   825  0.16   2.4  1797  15.2  -1.9   8.0     0    304.6  -0.3   2.4         
   800 -0.75   2.0  2056  13.7  -1.3   5.0     0    305.8  -1.1   1.8         
   775  -1.8   1.8  2322  11.9     0   4.4     0    306.6  -2.1   1.4         
   750  -2.2   1.8  2595  10.1     0   4.0     0    307.5  -2.5   1.3         
   725  -1.9   1.1  2875   8.4  -1.2   5.0     0    308.7  -2.1   0.7         
   700  -1.5  0.86  3163   6.7  -3.0   9.0  2E-2    309.9  -1.6   0.5         
   650 -0.34   2.3  3767   3.4  -1.7  20.0  2E-2    312.8  -0.8   2.2         
   600  0.45   3.5  4410  -1.2  0.50  20.0  2E-2    314.7  -0.2   3.5         
   550   5.7   4.7  5097  -5.6 -0.63   9.0  2E-2    317.5   4.7   5.7         
   500  10.6   7.7  5835 -11.5 -0.36  10.0  2E-2    319.1   8.8   9.6         
   450  10.4   8.8  6633 -18.0   1.4  14.0  2E-2    320.6   8.5  10.7         
   400  11.4   8.1  7499 -25.3   2.4  21.0  2E-2    322.1   9.6  10.2         
   350  12.3  11.3  8452 -33.3   2.1  27.0  2E-2    323.9   9.9  13.5         
   300  11.9  12.6  9514 -42.2   1.1  46.0  2E-2    326.0   9.2  14.7         
   250  16.9   9.7 10728 -49.6  -2.6  65.8  2E-2    332.4  14.7  12.9         
   200  14.8  16.1 12156 -56.9  -2.6  50.3  2E-2    342.7  11.3  18.7         
   150  14.8  19.7 13952 -62.1 -0.49   8.6     0    363.1  10.7  22.2         
   100  13.6  10.5 16428 -65.8 -0.14   4.4  2E-2    400.5  11.2  13.0         
    50   4.0   4.6 20635 -64.9 -0.34   5.2  2E-2    490.5   3.0   5.3         
